순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,천안시 동남구,천안종합버스터미널,충남 천안시 동남구 만남로 43-0,기타관광,교통시설,240527
2,충청남도,천안시 동남구,신세계백화점천안아산점,충남 천안시 동남구 만남로 43-0,쇼핑,백화점,234114
3,충청남도,천안시 동남구,독립기념관,충남 천안시 동남구 독립기념관로 1-0,문화관광,전시시설,167770
4,충청남도,천안시 동남구,천안중앙시장,충남 천안시 동남구 사직로 7-0,쇼핑,시장,74322
5,충청남도,천안시 동남구,오션어드벤처,충남 천안시 동남구 종합휴양지로 200-0,문화관광,테마공원,44452
6,충청남도,천안시 동남구,천안상록CC,충남 천안시 동남구 수신로 557-0,레저스포츠,육상레저스포츠,39221
7,충청남도,천안시 동남구,각원사,충남 천안시 동남구 각원사길 245-0,역사관광,종교성지,34334
8,충청남도,천안시 동남구,천안상록리조트,충남 천안시 동남구 수신로 576-0,문화관광,복합관광시설,29547
9,충청남도,천안시 동남구,마론뉴데이CC,충남 천안시 동남구 납안5길 74-0,레저스포츠,육상레저스포츠,28341
10,충청남도,천안시 동남구,골프존카운티천안,충남 천안시 동남구 매성2길 103-0,레저스포츠,육상레저스포츠,27823
11,충청남도,천안시 동남구,천안고속버스터미널,충남 천안시 동남구 만남로 43-0,기타관광,교통시설,27421
12,충청남도,천안시 동남구,우정힐스CC,충남 천안시 동남구 충절로 1048-68,레저스포츠,육상레저스포츠,25391
13,충청남도,천안시 동남구,천안예술의전당,충남 천안시 동남구 종합휴양지로 185-0,문화관광,공연시설,19501
14,충청남도,천안시 동남구,롯데시네마천안청당,충남 천안시 동남구 청수11로 35-0,문화관광,공연시설,18435
15,충청남도,천안시 동남구,천안박물관휴관중(2025년06월개관예정),충남 천안시 동남구 천안대로 429-13,문화관광,전시시설,18128
16,충청남도,천안시 동남구,광덕사,충남 천안시 동남구 광덕사길 30-0,역사관광,종교성지,14886
17,충청남도,천안시 동남구,태학산자연휴양림,충남 천안시 동남구 돈마루1길 188-0,자연관광,자연공원,14155
18,충청남도,천안시 동남구,천안삼거리공원,충남 천안시 동남구 충절로 410-0,문화관광,도시공원,13989
19,충청남도,천안시 동남구,국립중앙청소년수련원,충남 천안시 동남구 서리4길 48-0,레저스포츠,육상레저스포츠,12889
20,충청남도,천안시 동남구,CGV천안터미널,충남 천안시 동남구 만남로 43-0,문화관광,공연시설,12700
21,충청남도,천안시 동남구,아름다운정원화수목,충남 천안시 동남구 교천지산길 175-0,체험관광,농/산/어촌체험,11244
22,충청남도,천안시 동남구,천호지,충남 천안시 동남구 망향로 0-0,자연관광,자연경관(하천/해양),9869
23,충청남도,천안시 동남구,CGV천안,충남 천안시 동남구 명동길 47-0,문화관광,공연시설,9397
24,충청남도,천안시 동남구,천안홍대용과학관,충남 천안시 동남구 장산서길 113-0,문화관광,전시시설,8808
25,충청남도,천안시 동남구,천안타운홀전망대,충남 천안시 동남구 옛시청길 29-0,문화관광,랜드마크관광,8686
26,충청남도,천안시 동남구,원성천벚꽃길,충남 천안시 동남구,기타관광,기타관광,7534
27,충청남도,천안시 동남구,아우내장터,충남 천안시 동남구 아우내순대길 0-0,쇼핑,시장,7303
28,충청남도,천안시 동남구,청수호수공원,충남 천안시 동남구 청수로 20-0,문화관광,도시공원,6053
29,충청남도,천안시 동남구,상록리조트상록랜드,충남 천안시 동남구 수신로 576-0,문화관광,복합관광시설,5841
30,충청남도,천안시 동남구,유관순열사기념관,충남 천안시 동남구 유관순길 38-0,문화관광,전시시설,5805
31,충청남도,천안시 동남구,천안시태조산청소년수련관,충남 천안시 동남구 태조산길 261-0,레저스포츠,육상레저스포츠,5513
32,충청남도,천안시 동남구,천안야구장,충남 천안시 동남구 천안대로 320-0,문화관광,레저스포츠시설,5243
33,충청남도,천안시 동남구,천안생활체육공원,충남 천안시 동남구 천안대로 357-0,문화관광,도시공원,5098
34,충청남도,천안시 동남구,신방쉼터,충남 천안시 동남구 천안천변길 129-33,기타관광,기타관광,5009
35,충청남도,천안시 동남구,점핑고,충남 천안시 동남구 신촌로 24-0,문화관광,테마공원,4409
36,충청남도,천안시 동남구,해피애니멀,충남 천안시 동남구 광풍로 1011-0,문화관광,테마공원,4286
37,충청남도,천안시 동남구,용연저수지,충남 천안시 동남구,자연관광,자연경관(하천/해양),4244
38,충청남도,천안시 동남구,흑성산성,충남 천안시 동남구,역사관광,역사유적지,4006
39,충청남도,천안시 동남구,천호지공원,충남 천안시 동남구,문화관광,도시공원,3845
40,충청남도,천안시 동남구,오룡웰빙파크,충남 천안시 동남구 성황로 121-0,문화관광,도시공원,3825
41,충청남도,천안시 동남구,쥬쥬피아,충남 천안시 동남구 성불사길 36-0,문화관광,테마공원,3781
42,충청남도,천안시 동남구,성불사,충남 천안시 동남구 성불사길 144-0,역사관광,종교성지,3731
43,충청남도,천안시 동남구,충청남도안전체험관,충남 천안시 동남구 태조산길 267-17,기타관광,기타관광,3695
44,충청남도,천안시 동남구,유관순열사생가,충남 천안시 동남구 유관순생가길 18-2,역사관광,역사유적지,3443
45,충청남도,천안시 동남구,천안북면위례벚꽃길,충남 천안시 동남구 용암3길 0-0,기타관광,기타관광,3356
46,충청남도,천안시 동남구,위너풋살장,충남 천안시 동남구 천안천변길 79-15,레저스포츠,기타레저스포츠,3245
47,충청남도,천안시 동남구,주니어천문스쿨천안점,충남 천안시 동남구 광풍로 250-1,기타관광,기타관광,3216
48,충청남도,천안시 동남구,매치업풋살필드,충남 천안시 동남구 신흥2길 72-0,레저스포츠,기타레저스포츠,2926
49,충청남도,천안시 동남구,클라임맥스,충남 천안시 동남구 신촌로 24-0,레저스포츠,기타레저스포츠,2894
50,충청남도,천안시 동남구,태조산,충남 천안시 동남구,자연관광,자연경관(산),2794
51,충청남도,천안시 동남구,단풍나무숲길독립기념관,충남 천안시 동남구 삼방로 159-0,기타관광,기타관광,2746
