순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,천안시 서북구,갤러리아백화점센터시티점,충남 천안시 서북구 공원로 227-0,쇼핑,백화점,129120
2,충청남도,천안시 서북구,모다아울렛천안아산점,충남 천안시 서북구 공원로 196-0,쇼핑,쇼핑몰,84392
3,충청남도,천안시 서북구,천안시농수산물도매시장,충남 천안시 서북구 천안대로 1347-0,쇼핑,시장,57541
4,충청남도,천안시 서북구,천안축구센터,충남 천안시 서북구 축구센터로 150-0,문화관광,레저스포츠시설,54892
5,충청남도,천안시 서북구,CGV천안펜타포트,충남 천안시 서북구 공원로 196-0,문화관광,공연시설,30200
6,충청남도,천안시 서북구,롯데시네마천안불당,충남 천안시 서북구 불당21로 67-8,문화관광,공연시설,29951
7,충청남도,천안시 서북구,렛츠런CCC천안지점,충남 천안시 서북구 성정두정로 62-0,레저스포츠,육상레저스포츠,20307
8,충청남도,천안시 서북구,성성호수공원,충남 천안시 서북구,문화관광,도시공원,19306
9,충청남도,천안시 서북구,CGV천안시청,충남 천안시 서북구 번영로 201-0,문화관광,공연시설,18684
10,충청남도,천안시 서북구,메가박스천안,충남 천안시 서북구 1공단1길 52-0,문화관광,공연시설,16638
11,충청남도,천안시 서북구,메가도매센터,충남 천안시 서북구 천안대로 1348-0,쇼핑,대형마트,14818
12,충청남도,천안시 서북구,천안성성호수공원방문자센터,충남 천안시 서북구 성성2길 95-0,기타관광,기타관광,12630
13,충청남도,천안시 서북구,바운스슈퍼파크천안센터,충남 천안시 서북구 성성5로 117-0,문화관광,테마공원,10397
14,충청남도,천안시 서북구,성환시외버스터미널,충남 천안시 서북구 성환2로 104-0,기타관광,교통시설,10220
15,충청남도,천안시 서북구,천안시민체육공원,충남 천안시 서북구,문화관광,도시공원,8315
16,충청남도,천안시 서북구,천안골프클럽,충남 천안시 서북구 망향로 884-0,레저스포츠,육상레저스포츠,6460
17,충청남도,천안시 서북구,성환이화시장,충남 천안시 서북구 성환중앙로 50-0,쇼핑,시장,5652
18,충청남도,천안시 서북구,뽀스키즈파크,충남 천안시 서북구 업성수변로 94-0,문화관광,테마공원,5279
19,충청남도,천안시 서북구,봉서홀,충남 천안시 서북구 번영로 156-0,문화관광,공연시설,5086
20,충청남도,천안시 서북구,노태공원,충남 천안시 서북구,문화관광,도시공원,5016
21,충청남도,천안시 서북구,점핑몬스터천안점,충남 천안시 서북구 봉정로 321-0,문화관광,테마공원,4816
22,충청남도,천안시 서북구,성정공원,충남 천안시 서북구,문화관광,도시공원,4684
23,충청남도,천안시 서북구,점핑고신불당점,충남 천안시 서북구 불당22대로 86-0,문화관광,테마공원,4373
24,충청남도,천안시 서북구,으뜸풋살신구장,충남 천안시 서북구 4산단7로 156-1,레저스포츠,기타레저스포츠,4098
25,충청남도,천안시 서북구,천흥저수지,충남 천안시 서북구,자연관광,자연경관(하천/해양),3951
26,충청남도,천안시 서북구,남창낚시터,충남 천안시 서북구 보명사길 62-0,레저스포츠,수상레저스포츠,3883
27,충청남도,천안시 서북구,마정지낚시터,충남 천안시 서북구 금곡로 176-0,레저스포츠,수상레저스포츠,3516
28,충청남도,천안시 서북구,너티차일드천안점,충남 천안시 서북구 불당19로 111-0,문화관광,테마공원,3400
29,충청남도,천안시 서북구,별빛우물성정시장,충남 천안시 서북구 양지7길 22-0,쇼핑,시장,3330
30,충청남도,천안시 서북구,쌍용공원,충남 천안시 서북구,문화관광,도시공원,3222
31,충청남도,천안시 서북구,경륜경정천안지점,충남 천안시 서북구 두정로 220-0,레저스포츠,육상레저스포츠,3127
32,충청남도,천안시 서북구,천안시농수산물도매시장과일동,충남 천안시 서북구 천안대로 1347-0,쇼핑,시장,2392
33,충청남도,천안시 서북구,롤킹롤러스케이트장,충남 천안시 서북구 한들3로 8-0,레저스포츠,육상레저스포츠,2233
34,충청남도,천안시 서북구,대한민국축구종합센터건축중(2025년05월완공예정),충남 천안시 서북구,문화관광,레저스포츠시설,2196
35,충청남도,천안시 서북구,방아다리공원,충남 천안시 서북구,문화관광,도시공원,2173
36,충청남도,천안시 서북구,석곡낚시터,충남 천안시 서북구 부송로 43-40,레저스포츠,수상레저스포츠,2159
37,충청남도,천안시 서북구,씨네큐천안불당점,충남 천안시 서북구 불당33길 28-0,문화관광,공연시설,2101
38,충청남도,천안시 서북구,쁘띠엘점프로이,충남 천안시 서북구 두정로 230-0,문화관광,테마공원,2014
39,충청남도,천안시 서북구,으뜸풋살구구장,충남 천안시 서북구 4산단7로 16-25,레저스포츠,기타레저스포츠,1987
40,충청남도,천안시 서북구,톤톤프리미엄키즈카페,충남 천안시 서북구 한들1로 196-0,문화관광,테마공원,1827
41,충청남도,천안시 서북구,양전저수지,충남 천안시 서북구,자연관광,자연경관(하천/해양),1754
42,충청남도,천안시 서북구,테테루드림랜드,충남 천안시 서북구 한들1로 218-0,문화관광,테마공원,1713
43,충청남도,천안시 서북구,키벤저스천안점,충남 천안시 서북구 공원로 195-0,문화관광,테마공원,1533
44,충청남도,천안시 서북구,공감키즈카페직산1호점,충남 천안시 서북구 삼은1길 10-8,문화관광,테마공원,1363
45,충청남도,천안시 서북구,마정저수지,충남 천안시 서북구,자연관광,자연경관(하천/해양),1331
46,충청남도,천안시 서북구,직산삼은저수지생활체육공원,충남 천안시 서북구 직산로 136-0,문화관광,도시공원,1328
47,충청남도,천안시 서북구,물총새공원,충남 천안시 서북구,문화관광,도시공원,1311
48,충청남도,천안시 서북구,풋살스포츠천안구장,충남 천안시 서북구 두정공단1길 60-0,레저스포츠,기타레저스포츠,1287
49,충청남도,천안시 서북구,아트풋살장,충남 천안시 서북구,레저스포츠,기타레저스포츠,1259
50,충청남도,천안시 서북구,시장지,충남 천안시 서북구 시장리1길 0-0,자연관광,자연경관(하천/해양),1240
51,충청남도,천안시 서북구,천안봉선홍경사갈기비,충남 천안시 서북구 대홍3길 77-48,역사관광,역사유적지,1189
52,충청남도,천안시 서북구,UCC몰,충남 천안시 서북구 성성5로 117-0,문화관광,기타문화관광지,1062
53,충청남도,천안시 서북구,아장아장베이비카페,충남 천안시 서북구 3공단6로 50-0,문화관광,테마공원,1053
54,충청남도,천안시 서북구,에코힐링황톳길,충남 천안시 서북구 공원로 159-0,레저스포츠,기타레저스포츠,1030
55,충청남도,천안시 서북구,천안축구센터풋살장,충남 천안시 서북구 축구센터로 150-0,문화관광,레저스포츠시설,1025
56,충청남도,천안시 서북구,비벨르,충남 천안시 서북구 불당25로 142-0,레저스포츠,기타레저스포츠,1002
57,충청남도,천안시 서북구,부대동낚시터,충남 천안시 서북구 안터길 38-29,레저스포츠,수상레저스포츠,991
58,충청남도,천안시 서북구,업성지,충남 천안시 서북구 과수원길 0-0,자연관광,자연경관(하천/해양),959
59,충청남도,천안시 서북구,하늘맞이공원,충남 천안시 서북구,문화관광,도시공원,927
60,충청남도,천안시 서북구,슈슈봉봉천안불당점,충남 천안시 서북구 불당25로 178-0,문화관광,테마공원,903
61,충청남도,천안시 서북구,오밀쪼밀,충남 천안시 서북구 성성11길 19-0,문화관광,테마공원,898
62,충청남도,천안시 서북구,입장저수지,충남 천안시 서북구,자연관광,자연경관(하천/해양),861
63,충청남도,천안시 서북구,법인우림미트,충남 천안시 서북구 문성1길 15-0,쇼핑,시장,833
64,충청남도,천안시 서북구,와니엘배팅센터천안점,충남 천안시 서북구 업성3길 184-0,레저스포츠,기타레저스포츠,829
65,충청남도,천안시 서북구,봉봉키즈천안아산점,충남 천안시 서북구 불당34길 22-0,문화관광,테마공원,822
66,충청남도,천안시 서북구,골드힐CC공사중(2024년오픈예정),충남 천안시 서북구 기로3길 18-0,레저스포츠,육상레저스포츠,796
67,충청남도,천안시 서북구,딸기포레스트,충남 천안시 서북구 율금6길 13-1,체험관광,농/산/어촌체험,743
68,충청남도,천안시 서북구,쁘띠베베,충남 천안시 서북구 성성8로 14-4,문화관광,테마공원,735
69,충청남도,천안시 서북구,성성호수공원놀이터,충남 천안시 서북구 성성2길 95-0,문화관광,테마공원,717
70,충청남도,천안시 서북구,방축리낚시터,충남 천안시 서북구,레저스포츠,수상레저스포츠,699
71,충청남도,천안시 서북구,성정가구웨딩특화거리,충남 천안시 서북구 백석로 0-0,쇼핑,기타쇼핑시설,678
72,충청남도,천안시 서북구,천안흥타령춤축제,충남 천안시 서북구 번영로 208-0,문화관광,기타문화관광지,672
