순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,천안시 동남구,뚜쥬루빵돌가마점,충남 천안시 동남구 풍세로 706-0,음식,간이음식,83792
2,충청남도,천안시 동남구,병천순대거리,충남 천안시 동남구 아우내순대길 33-0,음식,음식점기타,64156
3,충청남도,천안시 동남구,이우철한방누룽지삼계탕천안본점,충남 천안시 동남구 유량로 164-0,음식,한식,40784
4,충청남도,천안시 동남구,박순자아우내순대,충남 천안시 동남구 아우내순대길 47-0,음식,한식,26912
5,충청남도,천안시 동남구,랜드마크195,충남 천안시 동남구 유량로 195-0,음식,카페/찻집,26617
6,충청남도,천안시 동남구,청화집,충남 천안시 동남구 충절로 1749-0,음식,한식,20137
7,충청남도,천안시 동남구,맥도날드천안원성DT점,충남 천안시 동남구 천안대로 699-0,음식,간이음식,20077
8,충청남도,천안시 동남구,충남집순대,충남 천안시 동남구 충절로 1748-0,음식,전문음식,19996
9,충청남도,천안시 동남구,이고집만두,충남 천안시 동남구 태조산길 258-0,음식,한식,17777
10,충청남도,천안시 동남구,핀스커피,충남 천안시 동남구 해솔1길 27-29,음식,카페/찻집,15081
11,충청남도,천안시 동남구,할머니학화호도과자본점,충남 천안시 동남구 만남로 62-0,음식,간이음식,13354
12,충청남도,천안시 동남구,청당정원,충남 천안시 동남구 청당2길 131-0,음식,한식,13339
13,충청남도,천안시 동남구,선유원,충남 천안시 동남구 동평3길 30-0,음식,한식,11449
14,충청남도,천안시 동남구,시골손두부,충남 천안시 동남구 충절로 1308-0,음식,한식,10458
15,충청남도,천안시 동남구,할리우드카페,충남 천안시 동남구 유량로 185-0,음식,카페/찻집,10220
16,충청남도,천안시 동남구,카페목천,충남 천안시 동남구 충절로 986-37,음식,카페/찻집,9898
17,충청남도,천안시 동남구,학화호도과자천안본점,충남 천안시 동남구 천안대로 590-0,음식,간이음식,9667
18,충청남도,천안시 동남구,장칼국수,충남 천안시 동남구 천안천8길 49-0,음식,한식,9519
19,충청남도,천안시 동남구,밥상차려주는집[한식],충남 천안시 동남구 풍세로 702-0,음식,한식,9471
20,충청남도,천안시 동남구,카페온담,충남 천안시 동남구 통세골2길 41-0,음식,카페/찻집,9194
21,충청남도,천안시 동남구,병천쌍둥이네순대,충남 천안시 동남구 아우내순대길 26-0,음식,한식,8943
22,충청남도,천안시 동남구,반딧불식당,충남 천안시 동남구 위례성로 1160-0,음식,한식,8839
23,충청남도,천안시 동남구,권구성순대국밥본점,충남 천안시 동남구 충절로 149-0,음식,한식,8679
24,충청남도,천안시 동남구,스타벅스천안원성DT점,충남 천안시 동남구 충절로 168-0,음식,카페/찻집,8241
25,충청남도,천안시 동남구,알토란한정식[한식],충남 천안시 동남구 서부대로 519-0,음식,한식,7958
26,충청남도,천안시 동남구,아우내엄나무순대,충남 천안시 동남구 아우내순대길 1-0,음식,한식,7868
27,충청남도,천안시 동남구,스타벅스천안대로DT점,충남 천안시 동남구 천안대로 527-0,음식,카페/찻집,7669
28,충청남도,천안시 동남구,피노카페,충남 천안시 동남구 휴양림길 99-23,음식,카페/찻집,7540
29,충청남도,천안시 동남구,카페루,충남 천안시 동남구 서부대로 531-20,음식,카페/찻집,7409
30,충청남도,천안시 동남구,벽오동천안점,충남 천안시 동남구 향교1길 138-0,음식,한식,7276
31,충청남도,천안시 동남구,버거킹천안원성DT점,충남 천안시 동남구 충절로 170-0,음식,간이음식,7196
32,충청남도,천안시 동남구,병천부부순대,충남 천안시 동남구 아우내순대길 28-0,음식,한식,6861
33,충청남도,천안시 동남구,스타벅스천안IC DT점,충남 천안시 동남구 신부15길 3-0,음식,카페/찻집,6691
34,충청남도,천안시 동남구,폴바셋천안구성DT점,충남 천안시 동남구 천안대로 552-0,음식,카페/찻집,6640
35,충청남도,천안시 동남구,수림정천안점,충남 천안시 동남구 통정6로 29-0,음식,한식,6586
