순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,천안시 서북구,뚜쥬루성정점,충남 천안시 서북구 백석로 270-0,음식,간이음식,23703
2,충청남도,천안시 서북구,두정동먹자골목,충남 천안시 서북구 원두정2길 15-0,음식,음식점기타,21593
3,충청남도,천안시 서북구,이우철한방누룽지삼계탕백석직영점,충남 천안시 서북구 한들2로 46-5,음식,한식,21317
4,충청남도,천안시 서북구,호수매운탕,충남 천안시 서북구 성성2길 61-0,음식,한식,19780
5,충청남도,천안시 서북구,뚜쥬루거북이점,충남 천안시 서북구 봉서산로 69-22,음식,간이음식,19550
6,충청남도,천안시 서북구,엄가네본가시골집,충남 천안시 서북구 봉정로 168-3,음식,한식,18989
7,충청남도,천안시 서북구,맥도날드천안두정역DT점,충남 천안시 서북구 천안대로 1022-0,음식,간이음식,18842
8,충청남도,천안시 서북구,맥도날드천안쌍용SK DT점,충남 천안시 서북구 충무로 166-0,음식,간이음식,18275
9,충청남도,천안시 서북구,몽상가인,충남 천안시 서북구 쌍용대로 85-0,음식,간이음식,16404
10,충청남도,천안시 서북구,스타벅스천안불당DT점,충남 천안시 서북구 불당34길 4-0,음식,카페/찻집,15772
11,충청남도,천안시 서북구,쿠우쿠우천안불당점,충남 천안시 서북구 검은들3길 46-0,음식,전문음식,15637
12,충청남도,천안시 서북구,이숲,충남 천안시 서북구 남창마을1길 32-0,음식,카페/찻집,15099
13,충청남도,천안시 서북구,스타벅스천안업성레이크점,충남 천안시 서북구 업성수변로 69-0,음식,카페/찻집,13340
14,충청남도,천안시 서북구,맥도날드천안두정DT점,충남 천안시 서북구 동서대로 49-0,음식,간이음식,13226
15,충청남도,천안시 서북구,이봉원의봉짬뽕[중식],충남 천안시 서북구 성정두정로 70-0,음식,외국식,12820
16,충청남도,천안시 서북구,육화미본점,충남 천안시 서북구 불당26로 100-10,음식,한식,12525
17,충청남도,천안시 서북구,승지원,충남 천안시 서북구 노태산로 41-0,음식,한식,12398
18,충청남도,천안시 서북구,스타벅스천안성정DT점,충남 천안시 서북구 동서대로 154-0,음식,카페/찻집,11531
19,충청남도,천안시 서북구,복미락한식부페천안본점,충남 천안시 서북구 오성로 153-0,음식,전문음식,11244
20,충청남도,천안시 서북구,더레이크스토리,충남 천안시 서북구 업성수변로 120-0,음식,카페/찻집,11166
21,충청남도,천안시 서북구,투썸플레이스천안업성LAKE점,충남 천안시 서북구 업성수변로 79-0,음식,카페/찻집,10681
22,충청남도,천안시 서북구,피양옥,충남 천안시 서북구 노태산로 31-0,음식,한식,10154
