순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,천안시 서북구,신라스테이천안,충남 천안시 서북구 동서대로 177-0,숙박,호텔,35856
2,충청남도,천안시 서북구,오엔시티호텔,충남 천안시 서북구 불당4로 105-0,숙박,호텔,11397
3,충청남도,천안시 서북구,라마다앙코르천안호텔,충남 천안시 서북구 차돌들길 12-0,숙박,호텔,10715
4,충청남도,천안시 서북구,호텔리움,충남 천안시 서북구 두정상가3길 21-0,숙박,모텔,8786
5,충청남도,천안시 서북구,노블레스호텔,충남 천안시 서북구 두정상가7길 15-0,숙박,모텔,6605
6,충청남도,천안시 서북구,녹스호텔,충남 천안시 서북구 성정공원6길 61-0,숙박,호텔,6431
7,충청남도,천안시 서북구,호텔제이탑,충남 천안시 서북구 검은들3길 19-0,숙박,모텔,6324
8,충청남도,천안시 서북구,CS프라자호텔,충남 천안시 서북구 성정공원6길 54-0,숙박,모텔,6117
9,충청남도,천안시 서북구,어반스테이,충남 천안시 서북구 성정공원4길 29-0,숙박,모텔,5504
10,충청남도,천안시 서북구,자자호텔,충남 천안시 서북구 성정공원5로 60-0,숙박,호텔,5103
11,충청남도,천안시 서북구,브라운도트호텔천안성정점,충남 천안시 서북구 성정공원4길 28-0,숙박,호텔,4956
12,충청남도,천안시 서북구,소설스미스호텔천안점,충남 천안시 서북구 성정공원5로 64-0,숙박,호텔,4946
13,충청남도,천안시 서북구,F2호텔,충남 천안시 서북구 오성로 150-0,숙박,모텔,4716
14,충청남도,천안시 서북구,아늑호텔성정점,충남 천안시 서북구 성정공원4길 11-0,숙박,호텔,4681
15,충청남도,천안시 서북구,뷰호텔,충남 천안시 서북구 부대중앙길 17-0,숙박,모텔,4678
16,충청남도,천안시 서북구,브라운도트호텔천안쌍용점,충남 천안시 서북구 차돌들길 12-5,숙박,호텔,4387
17,충청남도,천안시 서북구,보보스호텔,충남 천안시 서북구 차돌들길 11-12,숙박,모텔,4236
18,충청남도,천안시 서북구,브라운도트호텔불당점,충남 천안시 서북구 검은들3길 21-0,숙박,호텔,4053
19,충청남도,천안시 서북구,하운드호텔성정점,충남 천안시 서북구 성정공원7길 14-0,숙박,모텔,3909
20,충청남도,천안시 서북구,아덴호텔,충남 천안시 서북구 성정공원3길 27-0,숙박,모텔,3812
21,충청남도,천안시 서북구,호텔아리아,충남 천안시 서북구 봉정로 277-0,숙박,모텔,3788
22,충청남도,천안시 서북구,호텔달신불당점,충남 천안시 서북구 불당33길 47-0,숙박,모텔,3763
23,충청남도,천안시 서북구,슈바이처도르프호텔,충남 천안시 서북구 성정공원5로 42-0,숙박,호텔,3762
24,충청남도,천안시 서북구,호텔벨리노,충남 천안시 서북구 양지17길 14-0,숙박,모텔,3590
25,충청남도,천안시 서북구,호텔감,충남 천안시 서북구 성정공원3길 8-0,숙박,모텔,3521
26,충청남도,천안시 서북구,베니키아호텔,충남 천안시 서북구 양지21길 42-0,숙박,호텔,3386
27,충청남도,천안시 서북구,저스트슬립호텔천안두정점,충남 천안시 서북구 두정상가7길 17-0,숙박,호텔,3352
28,충청남도,천안시 서북구,클래스호텔,충남 천안시 서북구 검은들3길 11-0,숙박,모텔,3347
29,충청남도,천안시 서북구,샹그리라호텔,충남 천안시 서북구 성정공원1길 32-0,숙박,모텔,3304
30,충청남도,천안시 서북구,쇼호텔,충남 천안시 서북구 성정공원2길 21-0,숙박,모텔,3177
31,충청남도,천안시 서북구,K2호텔,충남 천안시 서북구 성정공원5로 55-0,숙박,모텔,3155
32,충청남도,천안시 서북구,더휴식아늑호텔천안역2호점,충남 천안시 서북구 양지21길 37-0,숙박,모텔,3124
33,충청남도,천안시 서북구,그레이스호텔,충남 천안시 서북구 성정공원4길 26-0,숙박,호텔,3035
34,충청남도,천안시 서북구,호텔윈저,충남 천안시 서북구 검은들3길 9-0,숙박,모텔,3029
35,충청남도,천안시 서북구,에이치투호텔,충남 천안시 서북구 두정상가3길 19-0,숙박,호텔,2995
36,충청남도,천안시 서북구,천안ST179호텔,충남 천안시 서북구 차돌들길 11-14,숙박,모텔,2994
37,충청남도,천안시 서북구,천안라트리호텔,충남 천안시 서북구 성정공원3길 25-0,숙박,호텔,2990
