기준년월일,시군구명,남성 10세미만 유동인구수,남성 10-14세 유동인구수,남성 15-19세 유동인구수,남성 20-24세 유동인구수,남성 25-29세 유동인구수,남성 30-34세 유동인구수,남성 35-39세 유동인구수,남성 40-44세 유동인구수,남성 45-49세 유동인구수,남성 50-54세 유동인구수,남성 55-59세 유동인구수,남성 60-64세 유동인구수,남성 65-69세 유동인구수,남성 70세이상 유동인구수,여성 10세미만 유동인구수,여성 10-14세 유동인구수,여성 15-19세 유동인구수,여성 20-24세 유동인구수,여성 25-29세 유동인구수,여성 30-34세 유동인구수,여성 35-39세 유동인구수,여성 40-44세 유동인구수,여성 45-49세 유동인구수,여성 50-54세 유동인구수,여성 55-59세 유동인구수,여성 60-64세 유동인구수,여성 65-69세 유동인구수,여성 70세이상 유동인구수
20240101,,87359.5,,119360.75,136104.95,164254.82,191274.1,197618.79,192246.85,214328.38,193125.84,193442.14,164636.07,131583.86,91265.79,112790.92,,90797.63,112966.64,115016.63,166396.6,169541.94,171543.89,173186.74,191140.45,181098.63,173423.08,143746.61,115941.11
20240101,,11215.66,,17280.01,21072.14,25381.02,25490.45,23913.97,22565.45,28217.48,30476.45,34480.16,33410.93,28208.71,21734.83,29236.2,,12029.47,16452.43,17841.8,23808.3,22101.53,21072.16,22986.44,27322.95,27984.5,31765.43,29572.73,25297.59
20240101,,12678.15,,18655.15,19753.63,23245.51,21004.99,23120.73,24710.88,29915.92,31671.08,33034.84,31298.82,27111.48,21575.57,30082.11,,13062.51,19579.75,17223.05,20501.45,19932.11,20128.07,23803.9,28459.55,29268.49,30531.37,29298.36,27165.71
20240101,,49574.89,,62137.76,58400.76,66190.44,72162.13,86739.26,100105.99,115153.17,100599.38,96841.73,78950.41,62158.01,44261.66,58843.36,,46763.76,58584.99,51107.83,64023.52,67225.56,79128,89735.37,95323.1,83022.01,74012.73,65104.77,52569.95
20240101,,18177.34,,31703.86,31652.25,35083.19,33337.55,36599.47,36749.15,46872.93,45030.79,47256.84,40350.39,35094.23,27467.94,37604.12,,17721.99,25349.18,25605.36,27781.59,27178.1,31222.16,37547.48,43860.5,41866,38596.09,36996.7,30666.23
20240101,,11386.3,,16071.51,19372.74,25699.86,21404.17,18037.33,18730.41,26157.67,27424.93,30516.54,29587,25440.41,20199.39,30793.92,,11968.57,15002.59,15854.32,18332.28,17385.35,17459.15,20854.43,25423.48,24489.87,26524.83,25930.39,23602.66
20240101,,4231.63,,6352.52,8407.22,9651.2,5264.02,5595.05,7640.8,10112.07,12396.15,11945.48,8071.15,6525.72,4620.65,5653.14,,4177.59,5983.37,6511.91,5784.15,4330.99,5539.6,7249.96,9740.73,11146.91,9955.53,7101.01,5671.02
20240101,,23719.23,,31925.98,27288.92,31210.09,38771.49,45427.52,47437.75,57976.83,53365.4,54178.16,48536.79,39440.48,28332.63,33739.09,,23042.32,29775.97,23699.61,30346.88,34471.48,37890.36,42172.97,47400.71,43974.18,41349.53,38769.67,32856.79
20240101,,3743.18,,6494.54,7034.13,7353.62,7611.04,7423.29,8277.68,11482.43,12162.92,14677.74,14331.2,12589.63,9953.96,15813.37,,4483.75,6093.01,6243.22,6182.21,6901.5,6385.95,8317.05,9849.91,10719.22,12482.83,13043.4,12267.28
20240101,,5882.91,,8190.4,9820.37,9448.02,9151.68,8855.06,10519.64,15095.65,15007.31,16117.37,16837.25,14753.95,12583.04,21887.75,,5103.02,7453.3,8015.37,6540.41,8039.45,8444.52,11502.21,12800.06,13974.45,14327.88,16375.44,14754.8
20240101,,4992.14,,7794.61,7459.56,7495.36,8075.35,8390.41,10484.54,12861.85,13889,15323.79,16079.21,15508.79,12796.2,19081.31,,5398.1,7177.48,6460.03,6106.11,7125.19,7061.57,8879.72,11508.47,12089.74,13713.35,15317.59,14437.35
20240101,,3892.47,,4688.55,4335.63,4721.94,4859.83,4992.18,5976.18,7664.44,7165.31,7533.19,7722.25,6659,5657.73,9149.81,,4343.86,4888.01,3292.52,4193.56,4942.38,5224.25,6709.89,7102.48,5747.5,6734.05,6984.96,6189.43
20240101,,7962.19,,12773.48,16872.33,18452.45,16690.35,15862.45,16041.64,22270.72,22784.52,25358.49,23755.28,21076.89,16316.41,24343.13,,7960.2,11481.76,15237.35,15390.74,13503.7,13078.6,16233.67,21673.56,21609.29,22502.59,20064.75,19541.64
20240101,,9846.17,,14536.73,13079.02,14373.44,17898.08,16831.03,19407.41,26210.51,26074.67,27606.65,27726.24,25863.9,21062.56,30440.59,,10233.4,13275.45,11416.87,14679.4,14435.79,16629.04,20033.82,23885.8,23181.64,24607.88,25740.88,23746.78
20240101,,7616.16,,10397.9,9814.88,10551.61,12266.6,13337.45,14550.11,18179.15,19176.38,19043.72,19497.96,17189.41,15082.28,19785.74,,7810.05,9991.75,9285.31,10558.89,12618.94,12396.93,13976.76,16861.32,16871.39,17887.84,19267.97,17106.88
20240102,,110895.97,,138878.75,148147.93,172445.75,199977.07,225086.15,227851.64,258972.78,241790.93,247163.18,212591.83,168508.08,116011.65,133929.41,,117869.36,143556.67,124686.83,175173.61,173086.95,187187.97,198519.97,229235.53,222820.76,210160.1,173539.5,138828.27
20240102,,8818.15,,13179.6,20033.29,22833.88,22584.91,21850.37,22380.66,28516.61,31957.73,36528.11,34829.26,29379.53,21729.35,30667.05,,9292.02,13006.66,15778.22,22434,16961.28,16533.12,18468.64,23373.12,25650.34,29772.87,27986.45,23878.01
20240102,,10476.17,,13099.6,14730.64,16761.74,15589.94,20064.68,22261.03,27398.51,28409.8,32993.33,29253.51,26036.21,20811.24,31458.05,,9511.53,14781.99,12352.16,13224.32,14113.45,14499.92,18310.36,22259.39,24264.82,26204.9,24396.74,24170.39
20240102,,59699.04,,67797.87,62784.02,69365.2,85740.19,109610.54,129276.88,155294.79,139221.84,133092.29,108124.1,82183.62,55605.79,69367.18,,61770.96,67562.69,57997.97,66386.87,66138.53,84221.95,103516.43,113983.36,99425.74,84909.12,72885.65,58000.2
20240102,,18673.57,,32425.91,29482.06,32130.11,36115.9,40721.18,43326.45,55537.38,56293.27,59254.84,50766.45,42950.77,31836.97,42861.69,,22074.29,30019.26,23581.4,23493.86,23753.21,31070.79,39922.44,48688.42,46937.69,43909.68,40188.35,33590.72
20240102,,10727.64,,14708.3,20868.22,26588.81,21761.31,21586.72,20176.63,28473.34,31514.97,37266.32,35191.44,29196.97,22777.1,33379.08,,11013.36,14463.85,16363.38,16785.6,16322.38,16768.67,20436.69,25585.06,26049.92,29708.73,27546.13,24747.02
20240102,,5588.68,,7168.98,8088.22,8629.86,6788.87,8010.5,10162.31,14255.58,15624.35,14909.81,10060.32,7847.97,5287.19,6441.19,,5253.97,8467.51,6546.11,5598.68,4764.11,7151.79,8867.46,13339.02,14758.37,12074.36,8807.37,6772.71
