업소명,업종명,서비스대상구분,소재지도로명주소,객실수
계곡펜션,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 193,3
티엔펜션,민박,내국인,충청남도 천안시 서북구 성환읍 성환18길 28,3
소풍,민박,내국인,충청남도 천안시 동남구 북면 매송6길 2-39,2
호두나무펜션,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 61-27(2동),1
힐마루펜션,민박,내국인,충청남도 천안시 동남구 풍세면 공수골2길 24-8,2
힐마루펜션3호,민박,내국인,충청남도 천안시 동남구 풍세면 공수골2길 24-12,1
차령펠리스,민박,내국인,충청남도 천안시 동남구 광덕면 차령고개로 473,1
잠꽃펜션,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 195,2
솔솔바람,민박,내국인,충청남도 천안시 동남구 북면 위례성로 774,1
솔지,민박,내국인,충청남도 천안시 동남구 광덕면 보산원2길 37-41,1
3.1펜션,민박,내국인,충청남도 천안시 동남구 병천면 관성3길 150-28,3
금리마을펜션,민박,내국인,충청남도 천안시 동남구 목천읍 삼방로 953,2
장승배기체험농장민박,민박,내국인,충청남도 천안시 동남구 성남면 성남신덕1길 228,2
벗길민박,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 109,2
길벗민박,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 107,2
동화호수민박,민박,내국인,충청남도 천안시 서북구 성거읍 천흥4길 201-66,5
동굴민박,민박,내국인,충청남도 천안시 서북구 성거읍 천흥4길201-18,3
동화민박,민박,내국인,충청남도 천안시 서북구 성거읍 천흥4길201-77,3
위례성농원민박,민박,내국인,충청남도 천안시 동남구 북면 위례성로 733,4
라온하우스민박,민박,내국인,충청남도 천안시 동남구 북면 위례성로 865-11,3
별장골민박,민박,내국인,충청남도 천안시 동남구 북면 양곡1길 2,3
마실,민박,내국인,충청남도 천안시 동남구 목천읍 덕전1길 92-6,2
여울채민박,민박,내국인,충청남도 천안시 동남구 광덕면 성산1길 67-64,2
호수별장펜션,민박,내국인,충청남도 천안시 서북구 입장면 기로2길 79-10,2
양지별밤,민박,내국인,충청남도 천안시 동남구 광덕면 지장길 317-30,3
칠이삼농원민박,민박,내국인,충청남도 천안시 동남구 목천읍 삼방로 723,2
천안OK민박,민박,내국인,충청남도 천안시 동남구 북면 오곡1길 4-29,5
지장황토민박,민박,내국인,충청남도 천안시 동남구 광덕면 지장길 136-16,2
다인,민박,내국인,충청남도 천안시 동남구 광덕면 해사동길 82-1,1
꽃잠펜션,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 191,1
둥구나무민박,민박,내국인,충청남도 천안시 동남구 북면 사담3길 7,1
프라미스,민박,내국인,충청남도 천안시 동남구 목천읍 삼방로 77-6,2
마메종펜션,민박,내국인,충청남도 천안시 동남구 광덕면 광풍로 210,1
맑은공기펜션,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 274,6
무지개글램핑,민박,내국인,충청남도 천안시 동남구 문암로 224(안서동),10
화랑골민박,민박,내국인,충청남도 천안시 동남구 북면 양곡2길 90,4
힐링펜션,민박,내국인,충청남도 천안시 동남구 병천면 봉항4길 102,6
공유민박,민박,내국인,충청남도 천안시 서북구 입장면 기로2길 49,3
자연황토민박,민박,내국인,충청남도 천안시 동남구 목천읍 소사3길 166-5,2
한빛펜션,민박,내국인,충청남도 천안시 서북구 성환읍 성환18길 24,1
숲속의쉼터,민박,내국인,충청남도 천안시 동남구 성남면 약수로 15,7
동천골,민박,내국인,충청남도 천안시 동남구 광덕면 죽계2길 30,6
산울림펜션,민박,내국인,충청남도 천안시 동남구 목천읍 덕전1길 171,7
유왕별서,민박,내국인,충청남도 천안시 동남구 목천읍 유왕골1길 181,7
천안휴펜션,민박,내국인,충청남도 천안시 동남구 광덕면 휴암1길 17,3
은퇴농장,민박,내국인,충청남도 천안시 동남구 병천면 봉항4길 120,7
우리농원,민박,내국인,충청남도 천안시 동남구 병천면 봉항4길 97,6
산수펜션,민박,내국인,충청남도 천안시 동남구 광덕면 보산원1길 17,4
에벤에셀,민박,내국인,충청남도 천안시 동남구 북면 위례성로 1434-24,1
비피펜션,민박,내국인,충청남도 천안시 동남구 광덕면 휴암1길 18,1
천안황토한옥,민박,내국인,충청남도 천안시 동남구 목천읍 삼방로 77-11,2
풍경소리,민박,내국인,충청남도 천안시 동남구 북면 납안3길 159,2
여울목펜션,민박,내국인,충청남도 천안시 동남구 목천읍 삼방로 778-22,4
하얀집,민박,내국인,충청남도 천안시 동남구 목천읍 덕전1길 121,7
갈재산장,민박,내국인,충청남도 천안시 동남구 광덕면 해수길 348,5
곡두가든민박,민박,내국인+외국인,충청남도 공주시 정안면 산뱅이길 24,3
날마다소풍민박,민박,내국인+외국인,충청남도 공주시 정안면 월산송정길 194,1
소랭이개울가 민박,민박,내국인+외국인,충청남도 공주시 정안면 월산송정길 183-6,2
여울 민박,민박,내국인+외국인,충청남도 공주시 정안면 장원길 325-3,1
시골큰집 민박,민박,내국인+외국인,충청남도 공주시 정안면 정안마곡사로 754,2
월산펜션 민박,민박,내국인+외국인,충청남도 공주시 정안면 정안마곡사로 461-9,1
불당골 민박(관광농원),민박,내국인+외국인,충청남도 공주시 유구읍 문금길 325,3
멍석 민박,민박,내국인+외국인,충청남도 공주시 유구읍 백교노동길 333,2
공주코지테마펜션민박,민박,내국인+외국인,충청남도 공주시 유구읍 부곡산성로 399,4
동해농원민박,민박,내국인+외국인,충청남도 공주시 유구읍 부곡산성로 502,2
동해동 민박,민박,내국인+외국인,충청남도 공주시 유구읍 부곡산성로 331,3
세종펜션민박,민박,내국인+외국인,충청남도 공주시 유구읍 서모곡길 129,2
숲속의 루비 민박,민박,내국인+외국인,충청남도 공주시 유구읍 세동길 13,5
어루러진펜션,민박,내국인+외국인,충청남도 공주시 유구읍 양지뜸길 38,2
수성 민박,민박,내국인+외국인,충청남도 공주시 유구읍 유구마곡사로 495-6,4
땅우에 태양 민박,펜션,내국인+외국인,충청남도 공주시 유구읍 유구마곡사로 495-62,5
어울림펜션민박,민박,내국인+외국인,충청남도 공주시 유구읍 유구마곡사로 469,6
소랭이밤골민박,민박,내국인+외국인,충청남도 공주시 정안면 개티길 52,1
황혼의 뜰 이야기 민박,민박,내국인+외국인,충청남도 공주시 정안면 고성1길 236-12,2
통나무민박,민박,내국인+외국인,충청남도 공주시 사곡면 마곡사로 732,4
하늘마루 민박,민박,내국인+외국인,충청남도 공주시 사곡면 마곡사로 740,6
청빈낙원민박,펜션,내국인+외국인,충청남도 공주시 사곡면 마곡사로 760-15,2
마곡사힐링마을민박,민박,내국인+외국인,충청남도 공주시 사곡면 말구리길 11동1호,2
월정농원 민박,민박,내국인+외국인,충청남도 공주시 사곡면 모단길 16,2
이화민박,민박,내국인+외국인,충청남도 공주시 사곡면 아래안영골길 10-3,3
공주계곡 민박,민박,내국인+외국인,충청남도 공주시 사곡면 운정길 20,2
마곡사 가는길 민박,민박,내국인+외국인,충청남도 공주시 사곡면 운정길 74,7
장승마을도자기민박,민박,내국인+외국인,충청남도 공주시 사곡면 유구마곡사로 1231,3
상원골 황토 민박,민박,내국인+외국인,충청남도 공주시 사곡면 유구마곡사로 788,2
상원골민박,민박,내국인+외국인,충청남도 공주시 사곡면 유구마곡사로 877-2,4
하얀펜션민박,민박,내국인+외국인,충청남도 공주시 사곡면 정안마곡사로 1557,2
솔다리 민박,민박,내국인+외국인,충청남도 공주시 사곡면 정안마곡사로 1633,3
춤다리쉼터민박,민박,내국인+외국인,충청남도 공주시 사곡면 춤다리길 3,5
505펜션 민박,민박,내국인+외국인,충청남도 공주시 사곡면 호계황골길 43B동,4
허송세월민박,민박,내국인+외국인,충청남도 공주시 신풍면 대룡조평길 744-7,1
동막골민박,민박,내국인+외국인,충청남도 공주시 신풍면 평소평촌길 9-74,1
나르빅 민박,민박,내국인+외국인,충청남도 공주시 왕촌길 81(상왕동),5
체험농장 민박,민박,내국인+외국인,충청남도 공주시 우성면 뜸밭길 150,2
병아리체험농장 민박,민박,내국인+외국인,충청남도 공주시 우성면 뜸밭길 156,1
호수의정원민박(에덴관광농원),민박,내국인+외국인,충청남도 공주시 우성면 홍골길 71,6
산너울펜션 민박,민박,내국인+외국인,충청남도 공주시 유구읍 구계연종길 1501동,4
은적펜션민박,민박,내국인+외국인,충청남도 공주시 유구읍 구계연종길 434-31,1
녹수원 민박,민박,내국인+외국인,충청남도 공주시 유구읍 금계산로 919-11,3
에덴동산민박,민박,내국인+외국인,충청남도 공주시 유구읍 문금길 157-15,3
로베 민박,민박,내국인+외국인,충청남도 공주시 반포면 사봉길 64,1
상신돌담민박,민박,내국인+외국인,충청남도 공주시 반포면 상하신길 427,4
상신흙집민박,민박,내국인+외국인,충청남도 공주시 반포면 상하신길 429,4
계룡산등산로계곡민박,민박,내국인+외국인,충청남도 공주시 반포면 상하신길 461,3
상신계곡333민박,민박,내국인+외국인,충청남도 공주시 반포면 상하신길 463,3
레드민박,민박,내국인+외국인,충청남도 공주시 반포면 석봉길 131동,3
우리민박,민박,내국인+외국인,충청남도 공주시 반포면 석봉길 132동,3
블루민박,민박,내국인+외국인,충청남도 공주시 반포면 석봉길 171동,3
스카이민박,민박,내국인+외국인,충청남도 공주시 반포면 석봉길 172동,3
로뎀나무 민박,민박,내국인+외국인,충청남도 공주시 반포면 석봉길 38-3,2
휴 펜션 민박,민박,내국인+외국인,충청남도 공주시 반포면 석봉길 6-2 2동,3
금암산업 고향집쉼터 민박,민박,내국인+외국인,충청남도 공주시 반포면 원전말길 28-1,2
오월의 발코니 민박,민박,내국인+외국인,충청남도 공주시 반포면 제석골길 12-1,4
토담민박,민박,내국인+외국인,충청남도 공주시 반포면 제석골길 7-30,4
미강펜션민박,펜션,내국인+외국인,충청남도 공주시 반포면 제석골길 7-8,4
에메랄드민박,민박,내국인+외국인,충청남도 공주시 반포면 제석골길 31,1
밀물떼민박(당초 쉼터),민박,내국인+외국인,충청남도 공주시 반포면 제석골길 7-4,2
계룡산 신소 민박,민박,내국인+외국인,충청남도 공주시 반포면 하신소1길 9,2
윤 민박,민박,내국인+외국인,충청남도 공주시 반포면 학봉사기소길 12-15,5
계룡산은행나무민박,민박,내국인+외국인,충청남도 공주시 반포면 학봉사기소길 3-10,1
춤바위민박,민박,내국인+외국인,충청남도 공주시 사곡면 가교새알골길 7-4,3
공주알프스민박,민박,내국인+외국인,충청남도 공주시 사곡면 단평길 148-5,4
무지개민박,민박,내국인+외국인,충청남도 공주시 사곡면 단평길 178-3,1
굿모닝 민박,민박,내국인+외국인,충청남도 공주시 사곡면 단평길 2451동,1
공주하늘 민박,민박,내국인+외국인,충청남도 공주시 사곡면 단평길 251,3
고운민박,민박,내국인+외국인,충청남도 공주시 사곡면 단평길 2721동,3
고운풍경민박,민박,내국인+외국인,충청남도 공주시 사곡면 단평길 2722동,4
공주소풍펜션 민박,펜션,내국인+외국인,충청남도 공주시 사곡면 단평길 148-3,4
둥지민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 229-5,7
계룡산1박2일,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 236,3
또랑가 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 239,4
더쉼민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 242,3
행복펜션 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 2521동,3
하늘펜션 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 2522동,3
로즈하우스민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 186-9,2
밤나무민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 221,1
소담민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 228,4
계룡산동학사민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 228-5,5
계룡산민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사1로 228-7,7
문필봉민박,펜션,내국인+외국인,충청남도 공주시 반포면 동학사1로 229-1,7
웰컴 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 16-1,6
계룡산 스테이 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 16-2,4
인향 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 32,4
산너머 남촌 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 36,3
할마미아 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 54,4
e-편한 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 67,1
봄날처럼 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 72,7
감자바우 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 74,4
해피투게더민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 10,2
계룡산의아침민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 139,7
모두와 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 16,5
사람과나무 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 22,5
12월의 왈츠 민박,민박,내국인+외국인,충청남도 공주시 반포면 동학사2로 62,5
라임휴로즈마리 민박,민박,내국인+외국인,충청남도 공주시 반포면 사봉길 107-2,1
라임 휴 민박,민박,내국인+외국인,충청남도 공주시 반포면 사봉길 107-4,2
뿌띠뿌띠펜션 민박,펜션,내국인+외국인,충청남도 공주시 반포면 사봉길 125,4
그림이야기책펜션,민박,내국인+외국인,충청남도 금산군 진산면 진산로 872-11,1
자연인펜션,민박,내국인+외국인,충청남도 금산군 진산면 청징길 267,4
청강수반딧불이,민박,내국인+외국인,충청남도 금산군 진산면 청징길 73,3
금산적벽강은구슬펜션,민박,내국인+외국인,충청남도 금산군 부리면 적벽강1길 47-13,1
백학동민박,민박,내국인+외국인,충청남도 금산군 금산읍 금산로 1229-16,1
비단골,민박,내국인+외국인,충청남도 금산군 진산면 태고사로 550-24,4
장대울호수펜션,민박,내국인+외국인,,2
금산별빛팬션민박,민박,내국인+외국인,충청남도 금산군 진산면 청징길 161,2
레이크힐,민박,내국인+외국인,충청남도 금산군 추부면 검한1길 109,3
하늘아래,민박,내국인+외국인,충청남도 금산군 추부면 서대동기1길 156,3
이안하우스,민박,내국인+외국인,충청남도 금산군 추부면 성당로 136,5
솔바라기,민박,내국인+외국인,충청남도 금산군 추부면 홍골1길 171,4
푸르내민박,민박,내국인+외국인,충청남도 금산군 제원면 낙안길 76,1
에버그린,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 597,3
복이네민박,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 614,3
적벽강가든,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 774,2
인삼골민박,민박,내국인+외국인,충청남도 금산군 부리면 춘호길 74,4
은비네,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 577,2
하늘바람별의집,민박,내국인+외국인,충청남도 금산군 제원면 구억평촌1길 5,3
베리팜코리아민박,민박,내국인+외국인,충청남도 금산군 제원면 금강로 353-48,2
폭포민박촌,민박,내국인+외국인,충청남도 금산군 제원면 금강로 594,2
솔밭민박,민박,내국인+외국인,충청남도 금산군 제원면 낙안길 39-16,3
여울목산장,민박,내국인+외국인,충청남도 금산군 제원면 낙안길 9,2
초희하우스,민박,내국인+외국인,충청남도 금산군 제원면 새방이 1길 30,4
화이트캐슬TWO,민박,내국인+외국인,충청남도 금산군 제원면 신안천길 81-9,2
푸르네마을순이네,민박,내국인+외국인,충청남도 금산군 제원면 용강2길 41,2
쉴만한물가,민박,내국인+외국인,충청남도 금산군 제원면 용화로 225,6
달빛내린 팬션,민박,내국인+외국인,충청남도 금산군 제원면 월영산길 41-27,1
금강펜션,민박,내국인+외국인,충청남도 금산군 제원면 천내길 176(천내리 835-2),3
원골펜션,민박,내국인+외국인,충청남도 금산군 제원면 금강로 726,2
살구정민박,민박,내국인+외국인,충청남도 금산군 진산면 살구정길 178-14(행정리 448-3 외),3
무지개쉼터,민박,내국인+외국인,충청남도 금산군 진산면 열두봉길 398-5,1
사계절펜션민박,민박,내국인+외국인,충청남도 금산군 진산면 을음실길 116-2,6
둥지민박,민박,내국인+외국인,충청남도 금산군 진산면 을음실길 118,3
파랑새민박,민박,내국인+외국인,충청남도 금산군 진산면 휴양림로 1589,2
물소리,민박,내국인+외국인,충청남도 금산군 진산면 휴양림로 2431,4
소나무펜션,민박,내국인+외국인,충청남도 금산군 진산면 휴양림로 2447,5
돌바위펜션,민박,내국인+외국인,충청남도 금산군 부리면 수통3길 143,4
골드리버,민박,내국인+외국인,충청남도 금산군 부리면 수통3길 145,2
금산서울팬션,민박,내국인+외국인,충청남도 금산군 부리면 수통3길 147,3
쌍둥이민박,민박,내국인+외국인,충청남도 금산군 부리면 수통3길 153-9,7
레드민박,민박,내국인+외국인,충청남도 금산군 부리면 수통3길 153-10,7
블루민박,민박,내국인+외국인,충청남도 금산군 부리면 수통3길 153-9,5
무지개민박,민박,내국인+외국인,충청남도 금산군 부리면 신촌길 46-14,2
사계절민박,민박,내국인+외국인,충청남도 금산군 부리면 압수2길 21,3
페밀리민박,민박,내국인+외국인,충청남도 금산군 부리면 적벽강1길 15,4
리버빌팬션,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 426,3
논실,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 442-8,3
리버하우스,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 464,4
적벽강노을펜션,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 492,4
양각산장,민박,내국인+외국인,충청남도 금산군 부리면 적벽강로 559-69,2
다둥이팬션,민박,내국인+외국인,충청남도 금산군 부리면 농바우길 152-208,2
아방궁,민박,내국인+외국인,충청남도 금산군 부리면 무금로 1548-165,3
강그리기펜션,민박,내국인+외국인,충청남도 금산군 부리면 수통1길 4,7
숲펜션,민박,내국인+외국인,충청남도 금산군 남이면 느티골길 234(건천리 479-1),1
십이폭포민박,민박,내국인+외국인,충청남도 금산군 남이면 십이폭포로 202-89,2
시냇가민박,민박,내국인+외국인,충청남도 금산군 남이면 진악로 138-9,1
토람산골,민박,내국인+외국인,충청남도 금산군 남이면 휴양림로 144-13,2
하양까망,민박,내국인+외국인,충청남도 금산군 복수면 복수로 403,7
큰바위얼굴,민박,내국인+외국인,충청남도 금산군 군북면 복거리길 67,2
산꽃세상,민박,내국인+외국인,충청남도 금산군 군북면 희망마을길 12,1
보곡산골민박,민박,내국인+외국인,충청남도 금산군 군북면 지네말길 135,1
조약돌민박,민박,내국인+외국인,충청남도 금산군 남이면 거북바위길 10-35,1
느티골계곡민박,민박,내국인+외국인,충청남도 금산군 남이면 느티골길 15,4
하늘별빛펜션,민박,내국인,충청남도 부여군 은산면 지천로525번길 19-6,3
호반민박,민박,내국인,충청남도 부여군 규암면 호반로164번길 14,4
집,민박,내국인,충청남도 부여군 부여읍 반월로 25-2,4
수리재,민박,내국인,충청남도 부여군 세도면 성흥로 411,3
다래랑민박,민박,내국인,충청남도 부여군 은산면 충절로나령2길 80,2
초동민박,민박,내국인,충청남도 부여군 규암면 호반로164번길 12,3
여행자숙소 마당,민박,내국인,충청남도 부여군 부여읍 신동엽길 10,3
은산매화가든,민박,내국인,충청남도 부여군 은산면 매화로 70-6,7
남면관광농원,민박,내국인,충청남도 부여군 남면 금천서로8번길 40,2
전통한옥팬션,민박,내국인,충청남도 부여군 부여읍 정동로83번길 52,5
신동엽길펜션,민박,내국인,충청남도 부여군 부여읍 신동엽길 21-2,3
들꽃이야기,민박,내국인,충청남도 부여군 부여읍 서동로37번길 5-4 3동,2
민들레,민박,내국인,충청남도 부여군 부여읍 서동로37번길 5-4 2동,2
126mansion,민박,내국인,충청남도 부여군 규암면 라복로 76-10,1
편백하우스,민박,내국인,충청남도 부여군 부여읍 금성로175번길 21,1
합송리 994,민박,내국인,충청남도 부여군 규암면 흥수로 581-6 3동,1
진심반가,민박,내국인,충청남도 부여군 외산면 무량로 80 1동,2
해도듬펜션,민박,내국인+외국인,충청남도 서산시 팔봉면 호리1길 127-36,2
노을길,민박,내국인+외국인,충청남도 서산시 팔봉면 한월당로 21-20,4
파타야,민박,내국인+외국인,충청남도 서산시 팔봉면 호리1길 132-5,1
노을과바다,민박,내국인+외국인,충청남도 서산시 팔봉면 한월당로 21-54,3
황토기와집 펜션,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 88,1
블루로드 펜션,민박,내국인+외국인,충청남도 서산시 지곡면 중왕뱃마을길 10,2
삼길포 펜션,민박,내국인+외국인,충청남도 서산시 대산읍 삼길포5길 9-2,4
블루로드 펜션,민박,내국인+외국인,충청남도 서산시 지곡면 중왕뱃마을길 14,4
외갓집,민박,내국인+외국인,충청남도 서산시 음암면 진동길 237,2
간월도펜션.수산,민박,내국인+외국인,충청남도 서산시 부석면 간월도1길 63,6
바다사랑펜션타운2동,민박,내국인+외국인,충청남도 서산시 대산읍 광암4길 125,1
바다마루,민박,내국인+외국인,충청남도 서산시 팔봉면 호리1길 153-21,3
솔창펜션,민박,내국인+외국인,충청남도 서산시 팔봉면 호리1길 150,3
편안한민박펜션,펜션,내국인+외국인,충청남도 서산시 부석면 간월도2길 74-19,1
가야산휴펜션,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 150,3
김기현 가옥,민박,내국인+외국인,충청남도 서산시 음암면 한다리길 45,8
유기방 가옥,민박,내국인+외국인,충청남도 서산시 운산면 이문안길 72-10,8
하늘빛으로 물든새,펜션,내국인+외국인,충청남도 서산시 부석면 원적참새골길 139,4
백제의 미소,펜션,내국인+외국인,충청남도 서산시 운산면 봉운로 982-13,8
웅도민박,민박,내국인+외국인,충청남도 서산시 대산읍 웅도1길 36-1,3
벌천포민박,민박,내국인+외국인,충청남도 서산시 대산읍 벌천포길 62-20,7
갯마을민박,민박,내국인+외국인,충청남도 서산시 대산읍 삼길포2길 6-5,4
중왕뻘낚지민박,민박,내국인+외국인,충청남도 서산시 지곡면 어름들2길 70,4
대산항민박,민박,내국인+외국인,충청남도 서산시 대산읍 삼길포1로 28,7
수림가든민박,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 76-1,4
산수가든민박,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 29,4
청솔가든민박,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 259,3
서울가든,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 115-3,5
신선동민박,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 249-5,5
산천초목민박,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 158,4
용천골민박,민박,내국인+외국인,충청남도 서산시 운산면 마애삼존불길 101-1,3
웅도동편민박,민박,내국인+외국인,충청남도 서산시 대산읍 웅도1길 36-1,3
해변민박,민박,내국인+외국인,충청남도 서산시 대산읍 삼길포2길 1,6
갯마을민박,민박,내국인+외국인,충청남도 서산시 팔봉면 팔봉1로 744,5
자연산장민박,민박,내국인+외국인,충청남도 서산시 해미면 산수2길 79-1,7
호리펜션10동,민박,내국인+외국인,충청남도 서산시 팔봉면 호리1길 135-12,4
